time_sec	flux	flux_err
392.331	3.67378033156778e-10	7.250712725405464e-11
397.812	5.12225165269968e-10	9.723835584453694e-11
402.057	5.75217744406908e-10	1.050932494037915e-10
407.634	4.4137803409829803e-10	8.711024544079225e-11
413.815	3.59115802732057e-10	7.087644048996034e-11
419.212	4.43689332243303e-10	8.756755418785754e-11
423.913	4.56274275158108e-10	8.33623067177638e-11
429.636	4.01928512386968e-10	7.93284710316546e-11
434.901	4.92169277669304e-10	8.991800944677459e-11
439.469	4.08115641838212e-10	8.054874086110744e-11
444.806	3.77841162527506e-10	7.457213630821769e-11
892.975	2.16605045320407e-10	3.07800294787209e-11
21170.457	4.7263317589214296e-12	9.78243938890684e-13
58331.117	1.58411982715553e-12	3.71246511549657e-13
82396.104	6.88208113396873e-13	1.76789000214833e-13
145944.71	8.62436344617603e-13	2.18251670534585e-13
360079.532	1.16139307103057e-13	3.5695181451850803e-14
107.244	7.39125402305689e-10	1.161283184298975e-10
112.185	8.39305204491357e-10	1.28495731230701e-10
116.613	9.41765502299138e-10	1.518220440171465e-10
120.845	5.58302505317762e-10	1.24297025391007e-10
124.894	6.99466761862411e-10	1.21832967723963e-10
128.908	5.99158528170926e-10	1.137270150359845e-10
132.711	6.38048988560311e-10	1.211057826103535e-10
136.718	5.34448078740093e-10	1.014400487560965e-10
141.711	7.48206406957923e-10	1.141788061858745e-10
146.077	8.11776486000921e-10	1.540790894930605e-10
150.686	1.00502740815493e-09	1.5780664050476052e-10
155.597	1.0228565526963e-09	1.525896338882805e-10
159.911	6.71718061808822e-10	1.37898087921894e-10
163.741	6.54924807400913e-10	1.19634484306692e-10
168.762	8.113286906577101e-10	1.30404903581686e-10
173.965	7.25791698546647e-10	1.3258519652598e-10
177.521	7.43497735720642e-10	1.4112667092297e-10
182.238	1.0259886111887602e-09	1.697692413025315e-10
186.049	9.12557944782292e-10	1.50999522679019e-10
190.317	1.1674717350814902e-09	1.7870623187778902e-10
193.79	6.68496708705526e-10	1.269044573476095e-10
197.434	1.53870059718048e-09	2.29596916051634e-10
200.592	1.16541476199433e-09	1.7838649362040749e-10
204.281	1.0025734639629901e-09	1.534763387134645e-10
207.548	1.47175396910026e-09	2.2528588898582502e-10
211.045	1.2035023861846602e-09	1.890185108556825e-10
214.768	1.0677460584245201e-09	1.6771215681785303e-10
218.982	1.1435894475892202e-09	1.70654167884968e-10
222.485	1.43236810508517e-09	2.19273697730683e-10
226.011	1.07205664223053e-09	1.68389021436719e-10
229.99	1.1979123274932801e-09	1.83385614385901e-10
233.492	7.98512714230305e-10	1.39393084095406e-10
237.296	6.56385321985406e-10	1.18623967066577e-10
242.187	8.72460927302731e-10	1.370386445922165e-10
246.311	1.04912257273398e-09	1.5656160763639252e-10
250.586	8.182068446233231e-10	1.494891313404305e-10
254.43	6.053525356095481e-10	1.194806286747735e-10
258.63	7.04665937572589e-10	1.3647790747526351e-10
263.153	5.09680039382016e-10	9.312019021729784e-11
267.515	5.69873848281605e-10	1.124742288849475e-10
272.633	6.07328509881985e-10	1.4097143226807252e-10
276.426	1.00344569010726e-09	1.78151343274517e-10
281.126	7.2091441829707e-10	1.31708613717873e-10
285.459	7.09570065072861e-10	1.29638323780839e-10
289.015	5.99409903998345e-10	1.334548253766485e-10
293.172	6.887980511904301e-10	1.25842682788574e-10
297.004	5.529588136441131e-10	1.01023655306365e-10
301.319	6.09201260904612e-10	1.11295373938585e-10
305.124	5.98372709057596e-10	1.1359460234529051e-10
308.98	1.06484119883318e-09	1.630090255381455e-10
312.974	4.82133764293814e-10	1.03043770267708e-10
317.051	7.25924530029121e-10	1.1401008895941399e-10
321.312	5.23299087894624e-10	9.560195969815809e-11
325.738	5.877893881739601e-10	1.11586701497152e-10
329.485	6.1369171381772e-10	9.964130186596535e-11
334.27	4.92734662269572e-10	1.0116749683651801e-10
338.46	7.586601701821881e-10	1.222946955702645e-10
342.439	6.21678733771134e-10	1.180219223327035e-10
346.471	5.096001472095201e-10	1.005774217916535e-10
351.407	5.86037221816402e-10	1.1566586382629351e-10
355.241	5.04260537386803e-10	9.95248860807176e-11
359.809	6.18290435720839e-10	1.2203642833121098e-10
363.482	7.1730605396884e-10	1.472786738890295e-10
368.199	6.08630753169455e-10	1.2012557692346051e-10
373.675	5.27869050598738e-10	1.002135938176995e-10
378.442	5.5149267853891e-10	1.088434166084795e-10
383.052	7.61254220015612e-10	1.2936045214832101e-10
387.038	6.82942625863632e-10	1.296487578102825e-10
392.331	3.67378033156778e-10	7.250712725405464e-11
397.812	5.12225165269968e-10	9.723835584453694e-11
402.057	5.75217744406908e-10	1.050932494037915e-10
407.634	4.4137803409829803e-10	8.711024544079225e-11
413.815	3.59115802732057e-10	7.087644048996034e-11
419.212	4.43689332243303e-10	8.756755418785754e-11
423.913	4.56274275158108e-10	8.33623067177638e-11
429.636	4.01928512386968e-10	7.93284710316546e-11
434.901	4.92169277669304e-10	8.991800944677459e-11
439.469	4.08115641838212e-10	8.054874086110744e-11
444.806	3.77841162527506e-10	7.457213630821769e-11
