time_sec	flux	flux_err
2.56099997971207	3.71433575329995e-08	6.277463556331441e-09
6.40099998049438	2.0521064718673e-08	4.0461860889757504e-09
10.3209999800812	4.746748041890541e-09	8.77289221405595e-10
23.7409999797961	4.85201552990797e-09	9.09241852886184e-10
154.775	7.38936202192909e-10	1.12442694435415e-10
537.419	3.47736259954332e-11	7.62083518640816e-12
584.704	2.0539571784984497e-11	4.64847117680776e-12
681.602	1.0340598629109699e-11	2.32978106328213e-12
815.821	5.8086160239651095e-12	1.17893475102434e-12
5403.937	4.63640281538507e-12	1.0402840612696e-12
5598.487	3.47116180277821e-12	7.83308725120418e-13
10927.244	6.04011527492861e-12	1.3273353848981099e-12
11164.388	4.10572921229024e-12	1.0695103091178299e-12
11546.166	4.96094463155094e-12	8.55966327062285e-13
17117.542	1.59652951304789e-12	3.37353918460652e-13
28560.868	2.6563528908532498e-12	5.99258598987453e-13
33569.039	2.77136233471091e-12	7.24587084413104e-13
33831.644	3.02989194209388e-12	7.94492990304127e-13
34190.703	3.01184491947971e-12	5.97607679180189e-13
38797.287	3.92014695926945e-12	8.83742864446181e-13
39049.923	2.20816934561582e-12	5.75810198752586e-13
39384.677	2.00703852797905e-12	5.28612628795402e-13
39675.733	1.9988734456096298e-12	5.22270973870729e-13
40027.627	2.0368874901325297e-12	5.149194932541699e-13
44457.902	3.2434114934841197e-12	8.43295435034722e-13
44806.017	1.7747436561307998e-12	4.7083325948162e-13
45121.466	2.31137869438885e-12	6.05191741193643e-13
45516.472	1.38417301632058e-12	3.66843078823897e-13
45933.657	3.1119215675726197e-12	6.31775484162885e-13
50541.421	1.30196693950695e-12	3.4230614708010997e-13
51048.271	1.54134279806771e-12	4.03723528100081e-13
51393.542	2.1947502834827e-12	5.70292496546424e-13
51798.822	1.5825757066237399e-12	3.79015085562521e-13
56318.254	1.25988466586577e-12	3.3236921187739197e-13
57183.843	1.73451369338311e-12	4.27128246755853e-13
65471.479	1.85276618590436e-12	3.50155835151663e-13
73199.864	1.52903320597563e-12	3.99984054975815e-13
73666.085	1.99536960518497e-12	5.23031949704227e-13
76753.27	1.00159694848567e-12	1.8716110277263299e-13
91075.364	1.42586145259553e-12	3.77035774410407e-13
91544.081	2.52128205797357e-12	5.98448193741243e-13
96376.76	1.521377486635e-12	3.37196588854478e-13
118125.974	1.0450565050842e-12	2.10590258630082e-13
130811.298	1.5412006759400998e-12	3.41335378487515e-13
136753.442	1.26893895598218e-12	2.83763842492289e-13
142335.778	1.0938594431212899e-12	2.50360384448531e-13
148229.269	1.04006900233676e-12	2.31838014654518e-13
154556.369	8.42824734299186e-13	2.12170706765374e-13
159817.819	1.34345820326999e-12	2.59598308938189e-13
165134.747	1.21832834118477e-12	3.2095245020799e-13
166001.073	9.84346662333771e-13	2.24221873761902e-13
170882.201	1.11905624129319e-12	2.94674313645395e-13
181262.574	6.92967890788917e-13	1.34249415634497e-13
256785.348	5.93435686807111e-13	1.2292680121763999e-13
274740.697	7.68521833652723e-13	1.7614099036760899e-13
284436.054	3.3119292544057197e-13	8.195120096761851e-14
294540.213	3.9529551834752996e-13	8.7178443001295e-14
349926.447	3.7996670914692697e-13	9.35902789355615e-14
396441.643	3.39238097564657e-13	7.39498604512026e-14
527481.434	1.24852976336377e-13	3.25852294178748e-14
729523.754	4.67363743577904e-14	1.463152892835155e-14
